site,AU-Fog
year,2008
lat,-12.5452
lon,131.307
timezone,200801010030,9.5
htower,200801010030,5
timeres,halfhourly
sc_negl,0
notes,processed on 20160517111414 with qc_auto v1.0 compiled using Ms VC++ 9.0 on Mar 17 2016 at 16:58:38
notes,var G_1 was renamed in G
notes,201605171114 qc visual comparison SY
notes,201605171114 qc visual comparison variable: PPFD_IN missing
notes,201605171113 qc visual SY
notes,201605171113 qc visual MY (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: Ta (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: RH (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: WS (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: NetRad (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: LW_IN (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: LE (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: H (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: ustar (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: SW_IN (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: CO2 (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: Fc (carlo)
notes,201605171109 G_1 Values sing OK
notes,201605171109 G not found
notes,201605171109 SSITC_TEST checker FC_SSITC_TEST is empty
notes,201605171109 SSITC_TEST checker LE_SSITC_TEST is empty
notes,201605171109 SSITC_TEST checker variable: LE_SSITC_TEST is not found
notes,201605171109 SSITC_TEST checker H_SSITC_TEST is empty
notes,201605171109 SSITC_TEST checker variable: H_SSITC_TEST is not found
notes,201605171109 SSITC_TEST checker variable: FC_SSITC_TEST is not found
notes,201605171108 "variable: RH
notes,201605171108 "variable: RH
notes,201605171108 "variable: RH
notes,201605171108 Rename variable WEEK with Week
notes,201605091313 Rename variable ustar with USTAR
notes,201605091313 Rename variable Ts_1 with TS_1
notes,201605091313 Rename variable Ta with TA
notes,201605091313 Rename variable SWout with SW_OUT
notes,201605091313 Rename variable SWin with SW_IN
notes,201605091313 Rename variable Pa with PA
notes,201605091313 Rename variable NetRad with NETRAD
notes,201605091313 Rename variable LWout with LW_OUT
notes,201605091313 Rename variable LWin with LW_IN
notes,201605091313 Rename variable G1 with G_1
notes,201605091313 Rename variable Fc with FC
notes,dataset retrieved on 20160509115841
TIMESTAMP_START,TIMESTAMP_END,NEE,TA,USTAR,SW_IN
200801041600,200801041630,-9999,27.39,0.53,299
200801041630,200801041700,-0.97,27.53,0.49,171
200801041700,200801041730,-1.70111,27.44,0.48,170
200801041730,200801041800,-1.74843,27.55,0.48,92
200801041800,200801041830,-9999,26.26,-9999,11
200801041830,200801041900,-9999,23.96,-9999,4
200801041900,200801041930,-9999,24.38,0.35,1
200801041930,200801042000,-9999,24.96,0.38,1
200801042000,200801042030,-9999,25.15,0.42,0
200801042030,200801042100,-6.3975,25.36,0.39,1
200801042100,200801042130,-0.8325,25.52,0.4,2
200801042130,200801042200,-9999,25.45,0.44,0
200801042200,200801042230,-9999,25.09,0.51,0
200801042230,200801042300,-9999,25.06,0.58,1
200801042300,200801042330,-9999,25.12,-9999,0
200801042330,200801050000,-9999,24.41,0.57,1
200801050000,200801050030,-9999,24.68,0.55,0
200801050030,200801050100,-9999,24.81,0.61,0
200801050100,200801050130,-9999,24.81,0.59,0
200801050130,200801050200,-9999,24.5,0.54,0
200801050200,200801050230,-9999,24.71,-9999,1
200801050230,200801050300,-9999,25.29,-9999,2
200801050300,200801050330,-9999,25.7,-9999,1
200801050330,200801050400,-9999,24.83,-9999,0
200801050400,200801050430,-9999,25.09,-9999,2
200801050430,200801050500,-9999,25.54,-9999,0
200801050500,200801050530,-9999,25.58,-9999,0
200801050530,200801050600,-9999,25.39,-9999,0
200801050600,200801050630,-9999,24.44,-9999,0
200801050630,200801050700,-9999,23.84,-9999,7
200801050700,200801050730,-9999,23.6,-9999,18
200801050730,200801050800,-9999,23.4,-9999,23
200801050800,200801050830,-9999,23.46,-9999,30
200801050830,200801050900,-9999,23.64,-9999,137
200801050900,200801050930,-9999,24.33,-9999,319
200801050930,200801051000,-9999,25.14,-9999,256
200801051000,200801051030,-9999,25.48,-9999,325
200801051030,200801051100,-9999,25.54,-9999,592
200801051100,200801051130,-9999,26.26,-9999,270
200801051130,200801051200,-9999,27.3,-9999,449
200801051200,200801051230,-9999,28.06,-9999,368
200801051230,200801051300,-9999,29.22,-9999,785
200801051300,200801051330,-9999,30.34,-9999,999
200801051330,200801051400,-9999,31.1,-9999,941
200801051400,200801051430,-9999,30.81,-9999,482
200801051430,200801051500,-9999,31.24,-9999,651
200801051500,200801051530,-9999,32.11,-9999,830
200801051530,200801051600,-9999,31.8,-9999,751
200801051600,200801051630,-9999,31.52,-9999,559
200801051630,200801051700,-9999,31.44,-9999,557
200801051700,200801051730,-9999,31.12,-9999,462
200801051730,200801051800,-9999,30.39,-9999,199
200801051800,200801051830,-9999,29.61,-9999,95
200801051830,200801051900,-9999,29.31,-9999,49
200801051900,200801051930,-9999,28.86,-9999,4
200801051930,200801052000,-9999,28.5,-9999,0
200801052000,200801052030,-9999,28.28,-9999,0
200801052030,200801052100,-9999,28.03,-9999,0
200801052100,200801052130,-9999,27.87,-9999,0
200801052130,200801052200,-9999,27.78,-9999,0
200801052200,200801052230,0.515278,27.58,0.22,0
200801052230,200801052300,1.15315,27.35,0.2,0
200801052300,200801052330,1.23472,27.14,0.21,0
200801052330,200801060000,1.40259,26.99,0.18,0
200801060000,200801060030,1.77269,27.03,0.23,0
200801060030,200801060100,1.17056,27.07,0.22,0
200801060100,200801060130,1.59,27.05,0.24,0
200801060130,200801060200,-9999,27.13,-9999,0
200801060200,200801060230,1.0163,27.32,0.28,0
200801060230,200801060300,-9999,27.88,-9999,0
200801060300,200801060330,-9999,28.12,-9999,0
200801060330,200801060400,-9999,28.11,-9999,0
200801060400,200801060430,-9999,27.95,-9999,0
200801060430,200801060500,-9999,28.06,-9999,0
200801060500,200801060530,-9999,28.21,-9999,0
200801060530,200801060600,-9999,28.22,-9999,0
200801060600,200801060630,-9999,28.21,-9999,2
200801060630,200801060700,-9999,28.22,-9999,26
200801060700,200801060730,-9999,28.35,-9999,67
200801060730,200801060800,-9999,28.45,-9999,81
200801060800,200801060830,-9999,28.65,-9999,196
200801060830,200801060900,-9999,29.21,-9999,378
200801060900,200801060930,-9999,29.76,-9999,469
200801060930,200801061000,-9999,30.02,-9999,414
200801061000,200801061030,-9999,30.3,-9999,522
200801061030,200801061100,-9999,30.63,-9999,858
200801061100,200801061130,-9999,30.92,-9999,779
200801061130,200801061200,-9999,31.11,-9999,927
200801061200,200801061230,-9999,31.34,-9999,823
200801061230,200801061300,-9999,31.75,-9999,1014
200801061300,200801061330,-9999,31.89,-9999,959
200801061330,200801061400,-9999,31.93,-9999,928
200801061400,200801061430,-9999,32.04,-9999,860
200801061430,200801061500,-9999,32.36,0.39,815
200801061500,200801061530,-9999,32.16,-9999,749
200801061530,200801061600,-9999,32.06,0.45,725
200801061600,200801061630,-9999,31.75,-9999,497
200801061630,200801061700,-9999,31.37,-9999,442
200801061700,200801061730,-9999,31.01,-9999,325
200801061730,200801061800,-9999,30.91,-9999,281
200801061800,200801061830,-9999,30.22,-9999,121
200801061830,200801061900,-0.92213,29.82,0.36,72
200801061900,200801061930,1.67417,29.13,0.31,7
200801061930,200801062000,1.44157,28.74,0.24,0
200801062000,200801062030,-9999,28.4,-9999,0
200801062030,200801062100,-9999,28.04,-9999,0
200801062100,200801062130,0.955278,27.73,0.21,0
